Aussparung;Surface_vide;Superficie_vuota
LFP3Nachfuehrung;Mise_a_jourPFP3;Tenuta_a_giornoPFP3
LFP3Nachfuehrung_Perimeter;Mise_a_jourPFP3_Perimetre;Tenuta_a_giornoPFP3_Perimetro
LFP3Pos;PosPFP3;PosPFP3
LFP3Symbol;SymbolePFP3;SimboloPFP3
LSNachfuehrung;Mise_a_jourBF;Tenuta_a_giornoBI
LSNachfuehrung_Perimeter;Mise_a_jourBF_Perimetre;Tenuta_a_giornoBI_Perimetro
Landesgrenzabschnitt;Partie_limite_nationale;Parte_confine_nazionale
Landesgrenzen;Limites_nationales;Confini_nazionali
Leitungsobjekt;Element_conduite;Oggetto_condotta
LeitungsobjektPos;PosElement_conduite;PosOggetto_condotta
Liegenschaft;Bien_fonds;Bene_immobile
Liegenschaft_Geometrie;Bien_fonds_Geometrie;Bene_immobile_Geometria
Liegenschaften;Biens_fonds;Beni_immobili

# Don't change the order of Linienelement and Linienobjekt
Linienobjekt;Element_lineaire;Elemento_lineare
Linienelement;Element_lineaire;Elemento_lineare

LinienelementSymbol;SymboleElement_lineaire;SimboloElemento_lineare
Linientyp;Type_ligne;Genere_linea
Lokalisation;Localisation;Localizzazione
LokalisationsName;Nom_localisation;Nome_localizzazione
LokalisationsNamePos;PosNom_localisation;PosNome_localizzazione
Massstabstyp;Type_echelle;Tipo_scala
Medium;Matiere;Sostanza
NBGeometrie;GeometrieDN;GeometriaAN
NBGeometrie_Geometrie;GeometrieDN_Geometrie;GeometriaAN_Geometria
NKNachfuehrung;Mise_a_jourNO;Tenuta_a_giornoNO
NKNachfuehrung_Perimeter;Mise_a_jourNO_Perimetre;Tenuta_a_giornoNO_Perimetro
Netzkreuz;Croix_filet;Crocetta_reticolo
Nomenklatur;Nomenclature;Nomenclatura
Nummerierungsbereich;Domaine_numerotation;Area_di_numerazione
NummerierungsbereichPos;PosDomaine_numerotation;PosArea_di_numerazione
Nummerierungsbereiche;Domaines_numerotation;Aree_di_numerazione
OSNachfuehrung;Mise_a_jourLoc;Tenuta_a_giornoLocalita
OSNachfuehrung_Perimeter;Mise_a_jourLoc_Perimetre;Tenuta_a_giornoLocalita_Perimetro

# Don't change the order of the following 4 lines
Objektname;Nom_objet;Nome_Oggetto
Objektname;Nom_Objet;Nome_Oggetto
ObjektnamePos;PosNom_objet;PosNome_Oggetto
ObjektnamePos;PosNom_Objet;PosNome_Oggetto

Objektnummer;Numero_Objet;Numero_Oggetto
ObjektnummerPos;PosNumero_Objet;PosNumero_Oggetto
Ortschaft;Localite;Localita
Ortschaft_Flaeche;Localite_Geometrie;Localita_Geometria
OrtschaftsName;Nom_localite;Nome_localita
OrtschaftsName_Pos;PosNom_localite;PosNome_localita
OrtschaftsVerbund;Groupement_de_Localite;Insieme_di_localita
OrtschaftsVerbundText;Texte_Groupement_de_Localite;TestoInsieme_di_localita
Ortsname;Nom_de_lieu;Nome_di_localita
OrtsnamePos;PosNom_de_lieu;PosNome_di_localita
Ortsname_Geometrie;Nom_de_lieu_Geometrie;Nome_di_localita_Geometria
PLZ6;NPA6;CAP6
PLZ6Nachfuehrung;Mise_a_jourNPA6;Tenuta_a_giornoCAP6
PLZ6Nachfuehrung_Perimeter;Mise_a_jourNPA6_Perimetre;Tenuta_a_giornoCAP6_Perimetro
PLZ6_Flaeche;NPA6_Geometrie;CAP6_Geometria
PLZOrtschaft;NPA_Localite;CAP_localita
Plan;Plan;Piano
PlanLayout;Bord_de_plan;Layout_del_piano
PlanLayoutSymbol;SymboleBord_de_plan;SimboloLayout_del_piano
PlanPos;Posplan;PosPiano
Planbeschriftung;Description_plan;Testo_del_piano
PlanbeschriftungPos;PosDescription_plan;PosTesto_del_piano
Planeinteilungen;Repartitions_plans;Ripartizione_dei_piani
Plangeometrie;Geometrie_plan;Geometria_Piano
Plangeometrie_Geometrie;Geometrie_plan_Geometrie;Geometria_Piano_Geometria
Planrahmen;Bords_de_plan;Margine_del_piano
ProjBergwerk;MineProj;MinieraProg
ProjBergwerk_Geometrie;MineProj_Geometrie;MinieraProg_Geometria
ProjBoFlaeche;SurfaceCSProj;SuperficieCSProg
ProjBoFlaecheSymbol;SymboleSurfaceCSProj;SimboloSuperficieCSProg
ProjBoFlaeche_Geometrie;SurfaceCSProj_Geometrie;SuperficieCSProg_Geometria
ProjGebaeudenummer;NumeroBatimentProj;NumeroEdificioProg
ProjGebaeudenummerPos;PosNumeroBatimentProj;PosNumeroEdificioProg
